id_equipo,seleccion,seleccion_normalizada,seleccion_original_fifa,confederacion,grupo,codigo_fifa,pais,clasificado,debut_mundial,fuente_equipos
1,Algeria,algeria,Algeria,CAF,J,ALG,Algeria,Sí,1982,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
2,Argentina,argentina,Argentina,CONMEBOL,J,ARG,Argentina,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
3,Australia,australia,Australia,AFC,D,AUS,Australia,Sí,1974,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
4,Austria,austria,Austria,UEFA,J,AUT,Austria,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
5,Belgium,belgium,Belgium,UEFA,G,BEL,Belgium,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
6,Bosnia And Herzegovina,bosnia and herzegovina,Bosnia And Herzegovina,UEFA,B,BIH,Bosnia And Herzegovina,Sí,2014,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
7,Brazil,brazil,Brazil,CONMEBOL,C,BRA,Brazil,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
8,Cabo Verde,cabo verde,Cabo Verde,CAF,H,CPV,Cabo Verde,Sí,2026,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
9,Canada,canada,Canada,CONCACAF,B,CAN,Canada,Sí,1986,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
10,Colombia,colombia,Colombia,CONMEBOL,K,COL,Colombia,Sí,1962,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
11,Congo DR,congo dr,Congo DR,CAF,K,COD,Congo DR,Sí,1974,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
12,Croatia,croatia,Croatia,UEFA,L,CRO,Croatia,Sí,1998,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
13,Curaçao,curacao,Curaçao,CONCACAF,E,CUW,Curaçao,Sí,2026,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
14,Czechia,czechia,Czechia,UEFA,A,CZE,Czechia,Sí,2006,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
15,Côte D'Ivoire,cote d ivoire,Côte D'Ivoire,CAF,E,CIV,Côte D'Ivoire,Sí,2006,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
16,Ecuador,ecuador,Ecuador,CONMEBOL,E,ECU,Ecuador,Sí,2002,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
17,Egypt,egypt,Egypt,CAF,G,EGY,Egypt,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
18,England,england,England,UEFA,L,ENG,England,Sí,1950,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
19,France,france,France,UEFA,I,FRA,France,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
20,Germany,germany,Germany,UEFA,E,GER,Germany,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
