id_partido,match_no,fase,ronda,grupo,fecha_local,hora_local_24h,fecha_peru,hora_peru,id_equipo_local,equipo_local,equipo_local_normalizado,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_normalizado,codigo_visitante,id_sede,ciudad,pais_sede,estadio,sede_normalizada,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
1,1,Fase de grupos,Group Stage,A,2026-06-11,16:00,2026-06-11,17:00,28,Mexico,mexico,MEX,40,South Africa,south africa,RSA,16,Mexico City,Mexico,Estadio Azteca,estadio azteca,Mexico vs South Africa,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
2,2,Fase de grupos,Group Stage,A,2026-06-11,16:00,2026-06-11,17:00,27,Korea Republic,korea republic,KOR,14,Czechia,czechia,CZE,10,Guadalajara,Mexico,Estadio Akron,estadio akron,Korea Republic vs Czechia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
3,3,Fase de grupos,Group Stage,B,2026-06-12,16:00,2026-06-12,15:00,9,Canada,canada,CAN,6,Bosnia And Herzegovina,bosnia and herzegovina,BIH,8,Toronto,Canada,BMO Field,bmo field,Canada vs Bosnia And Herzegovina,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
4,4,Fase de grupos,Group Stage,D,2026-06-12,18:00,2026-06-12,20:00,46,United States,united states,USA,34,Paraguay,paraguay,PAR,12,Los Angeles,United States,SoFi Stadium,sofi stadium,United States vs Paraguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
5,5,Fase de grupos,Group Stage,C,2026-06-13,21:00,2026-06-13,20:00,22,Haiti,haiti,HAI,38,Scotland,scotland,SCO,2,Boston,United States,Gillette Stadium,gillette stadium,Haiti vs Scotland,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
6,6,Fase de grupos,Group Stage,D,2026-06-13,21:00,2026-06-13,23:00,3,Australia,australia,AUS,45,Türkiye,turkiye,TUR,9,Vancouver,Canada,BC Place,bc place,Australia vs Türkiye,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
7,7,Fase de grupos,Group Stage,C,2026-06-13,18:00,2026-06-13,17:00,7,Brazil,brazil,BRA,29,Morocco,morocco,MAR,13,New York New Jersey,United States,MetLife Stadium,metlife stadium,Brazil vs Morocco,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
8,8,Fase de grupos,Group Stage,B,2026-06-13,12:00,2026-06-13,14:00,36,Qatar,qatar,QAT,43,Switzerland,switzerland,SUI,14,San Francisco Bay Area,United States,Levi's Stadium,levi s stadium,Qatar vs Switzerland,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
9,9,Fase de grupos,Group Stage,E,2026-06-14,16:00,2026-06-14,15:00,15,Côte D'Ivoire,cote d ivoire,CIV,16,Ecuador,ecuador,ECU,6,Philadelphia,United States,Lincoln Financial Field,lincoln financial field,Côte D'Ivoire vs Ecuador,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
10,10,Fase de grupos,Group Stage,E,2026-06-14,16:00,2026-06-14,16:00,20,Germany,germany,GER,13,Curaçao,curacao,CUW,4,Houston,United States,NRG Stadium,nrg stadium,Germany vs Curaçao,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
