"id_jugador","jugador_nombre_limpio","seleccion","foto_url","thesportsdb_id","nombre_api","estado_foto","error_api"
"1","MASTIL Melvin Feycal","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/zz809b1780303370.png","34436062","Melvin Mastil","encontrada",""
"2","MANDI Aissa","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/u0lyro1766078291.png","34152909","Aïssa Mandi","encontrada",""
"3","ABADA Achraf","Algeria","","","","no_encontrada",""
"4","TOUGAI Mohamed Amine","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/rhr94d1750491619.png","34287382","Mohamed Amine Tougai","encontrada",""
"5","BELAID Zineddine","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/ijnhzw1780303163.png","34231485","Zinéddine Belaïd","encontrada",""
"6","ZERROUKI Ramiz Larbi","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/22jlww1759840799.png","34176063","Ramiz Zerrouki","encontrada",""
"7","MAHREZ Riyad Karim","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/g0ay2p1771662753.png","34145708","Riyad Mahrez","encontrada",""
"8","AOUAR Houssem Houssem-Eddine Chaabane","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/hm39tt1681230801.png","34163670","Houssem Aouar","encontrada",""
"9","GOUIRI Amine Ferid GHOUIRI","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/74eam91766152411.png","34163672","Amine Gouiri","encontrada",""
"10","CHAIBI Fares","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/736ole1762287487.png","34200627","Farès Chaïbi","encontrada",""
"11","HADJ MOUSSA Anis","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/54rafl1732695177.png","34246125","Anis Hadj Moussa","encontrada",""
"12","BENBOUALI Nadhir Ahmed","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/49wume1780303249.png","34241121","Nadhir Benbouali","encontrada",""
"13","HADJAM Jaouen Djimmy","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/rsozw71681388411.png","34174799","Jaouen Hadjam","encontrada",""
"14","BOUDAOUI Hicham","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/pkjb4y1766319645.png","34173880","Hicham Boudaoui","encontrada",""
"15","AIT-NOURI Rayan AÏT NOURI","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/pxl8n91769182693.png","34168127","Rayan Aït-Nouri","encontrada",""
"16","BENBOT Oussama","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/414kg81780303205.png","34231482","Oussama Benbot","encontrada",""
"17","BELGHALI Ra","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/zj4a661759162161.png","34220638","Rafik Belghali","encontrada",""
"18","AMOURA Mohamed Mohammed Elamine","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/exqyvl1763669195.png","34221973","Mohamed Amoura","encontrada",""
"19","BENTALEB Nabil","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/ryrkw41766077386.png","34146211","Nabil Bentaleb","encontrada",""
"20","BOULBINA Adil","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/oguuj51780303291.png","34234198","Adil Boulbina","encontrada",""
"21","BENSEBAINI Ramy Amir Selmane Rami","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/z5sfyp1756326052.png","34166996","Ramy Bensebaini","encontrada",""
"22","MAZA Ibrahim","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/pp1m6o1756315346.png","34219244","Ibrahim Maza","encontrada",""
"23","ZIDANE Luca Zinedine","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/9ix3pk1630065438.png","34175251","Luca Zidane","encontrada",""
"24","TITRAOUI Yassine M E G","Algeria","","","","no_encontrada",""
"25","GHEDJEMIS Fares","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/4agbqr1780303327.png","34228039","Farès Ghedjemis","encontrada",""
"26","CHERGUI Samir Sophian CHRGUI","Algeria","https://r2.thesportsdb.com/images/media/player/cutout/whj4ft1766329012.png","34195246","Samir Chergui","encontrada",""
"27","MUSSO Juan Agustín","Argentina","https://r2.thesportsdb.com/images/media/player/cutout/401mle1762287491.png","34164510","Juan Musso","encontrada",""
