team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Jordan National Team,Jordan,2026,Jordan,16,8,8,0,8,4,4,5,1,4,3,3,0,1.81,1.63,2,1,0,0,10,32,12,20,44,25,19,18,14,7,5,11,9,45,40,51,120,102,143,6,3,3,7,2,5,4,3,1,9,5,4,56,23,33,23,11,12,40,41,39,131,64,67,41,18,23,90,46,44,139,74,65,15,7,8,7,4,3,8,3,5,8,4,4,6,2,4,2,2,0,1.88,1.75,2,2.75,3.13,2.38,2,2.25,1.75,0.75,0.88,0.63,1.38,1.38,1.38,0.94,0.88,1,0.44,0.5,0.38,15,14,8,4,1,1,8,7,4,3,1,1,7,7,4,1,0,0,1,2,8,12,15,15,0,1,4,5,7,7,1,1,4,7,8,8,94,88,50,25,6,6,100,88,50,38,13,13,88,88,50,13,0,0,6,12,50,75,94,94,0,12,50,62,87,87,12,12,50,87,100,100,12,7,2,6,3,1,6,4,1,75,44,13,75,38,13,75,50,13,50,50,50,-2,38,38,38,44,25,63,25,38,13,56,63,50,10,5,5,63,63,63,6,4,2,38,50,25,4,1,3,25,13,38,50,50,50,38,25,50,13,25,0,5.09,4.60,5.50,1.44,1.38,1.50,73,64,55,45,36,36,27,9,1.28,1.29,1.28,1.16,1.04,1.29,56,4,3,5,0,5,4,3,3,5,2,1,1,2,1,0,2,1,2,31,13,50,19,38,0,0
Australia National Team,Australia,2026,Australia,16,8,8,0,11,6,5,4,1,3,1,1,0,2.31,2.38,2.25,1,0,0,4,38,7,31,45,26,19,23,15,3,4,20,11,38,31,48,205,237,180,10,5,5,5,2,3,3,2,1,11,5,6,58,20,38,25,13,12,52,52,52,121,66,55,45,26,19,76,40,36,105,62,43,19,12,7,2,1,1,17,11,6,9,4,5,7,4,3,0,0,0,2.13,2,2.25,2.81,3.25,2.38,2.38,2.88,1.88,0.44,0.38,0.5,1.31,1.63,1,1.19,1.5,0.88,0.13,0.13,0.13,14,11,7,6,4,2,7,5,4,4,3,2,7,6,3,2,1,0,2,5,9,10,12,14,1,3,4,4,5,6,1,2,5,6,7,8,88,69,44,38,25,13,88,63,50,50,38,25,88,75,38,25,13,0,12,31,56,62,75,87,12,37,50,50,62,75,12,25,62,75,87,100,11,6,3,5,4,3,6,2,0,69,38,19,63,50,38,75,25,0,69,75,63,18,63,63,63,31,25,38,19,25,13,69,63,75,14,7,7,88,88,88,5,3,2,31,38,25,2,1,1,13,13,13,56,50,63,44,50,38,0,0,0,4.83,3.33,6.33,1.56,1.63,1.50,67,57,50,33,25,25,8,8,0.97,1.23,0.70,1.13,0.91,1.35,56,5,5,3,3,7,4,4,0,7,0,2,0,0,0,0,0,4,1,25,13,38,6,13,0,8
Bangladesh National Team,Bangladesh,2026,Bangladesh,8,4,4,0,1,1,0,2,1,1,5,2,3,0.63,1,0.25,4,0,0,30,4,22,-18,26,8,18,3,1,5,17,-2,-16,180,120,360,33,72,21,0,0,0,3,2,1,5,2,3,1,1,0,7,4,3,23,13,10,42,39,50,32,15,17,8,4,4,24,11,13,23,7,16,1,1,0,10,2,8,-9,-1,-8,0,0,0,4,3,1,4,1,3,0.5,0.75,0.25,3.25,2,4.5,0.5,0.75,0.25,2.75,1.25,4.25,1.38,0.75,2,0.13,0.25,0,1.25,0.5,2,8,7,4,3,2,1,4,3,1,0,0,0,4,4,3,3,2,1,0,1,4,5,6,7,0,1,3,4,4,4,0,0,1,1,2,3,100,88,50,38,25,13,100,75,25,0,0,0,100,100,75,75,50,25,0,12,50,62,75,87,0,25,75,100,100,100,0,0,25,25,50,75,5,4,1,2,1,0,3,3,1,63,50,13,50,25,0,75,75,25,13,25,0,53,0,0,0,38,50,25,63,50,75,13,25,0,3,2,1,38,50,25,7,3,4,88,75,100,1,1,0,13,25,0,0,0,0,50,75,25,50,25,75,2.33,2.00,3.00,2.88,3.25,2.50,100,100,100,100,33,33,33,33,1.59,1.34,1.84,1.42,1.42,1.40,100,0,1,0,0,1,0,0,1,1,2,1,1,3,6,2,3,1,3,25,25,25,63,50,75,0
Bahrain National Team,Bahrain,2026,Bahrain,16,8,8,0,4,1,3,5,3,2,7,4,3,1.06,0.75,1.38,2,0,0,16,16,19,-3,35,21,14,7,9,14,5,-7,4,90,102,80,76,51,143,6,2,4,3,2,1,9,5,4,6,2,4,32,19,13,28,14,14,47,49,44,88,58,30,20,12,8,68,46,22,88,40,48,9,4,5,7,5,2,2,-1,3,3,1,2,8,3,5,5,4,1,1.06,0.75,1.38,2.19,2.63,1.75,1,0.88,1.13,1.19,1.75,0.63,1,1.13,0.88,0.56,0.5,0.63,0.44,0.63,0.25,14,10,5,4,2,0,7,6,4,3,1,0,7,4,1,1,1,0,2,6,11,12,14,16,1,2,4,5,7,8,1,4,7,7,7,8,88,63,31,25,13,0,88,75,50,38,13,0,88,50,13,13,13,0,12,37,69,75,87,100,12,25,50,62,87,100,12,50,87,87,87,100,10,4,2,6,2,1,4,2,1,63,25,13,75,25,13,50,25,13,25,13,38,-30,38,25,50,19,25,13,56,63,50,38,25,50,9,3,6,56,38,75,11,6,5,69,75,63,2,1,1,13,13,13,19,13,25,50,38,63,31,50,13,3.20,3.80,2.60,1.75,1.75,1.75,90,60,20,10,10,0,0,0,1.11,1.47,0.74,1.17,1.04,1.31,50,4,2,0,2,2,0,0,2,4,2,1,1,2,2,0,3,2,6,31,38,25,44,50,38,0
Taiwan National Team,Taiwan,2026,Taiwan,8,4,4,0,2,1,1,0,0,0,6,3,3,0.75,0.75,0.75,4,0,0,26,9,17,-8,26,10,16,4,5,6,11,-2,-6,80,90,72,42,60,33,2,1,1,2,0,2,4,3,1,3,1,2,8,8,0,11,5,6,42,42,0,15,15,0,6,6,0,9,9,0,23,23,0,5,1,4,6,1,5,-1,0,-1,3,1,2,2,2,0,3,1,2,1.38,1.25,1.5,3.25,2.5,4,1.13,1,1.25,2.13,1.5,2.75,1.38,0.5,2.25,0.63,0.25,1,0.75,0.25,1.25,8,7,6,3,1,1,4,3,2,1,0,0,4,4,4,2,1,1,0,1,2,5,7,7,0,1,2,3,4,4,0,0,0,2,3,3,100,88,75,38,13,13,100,75,50,25,0,0,100,100,100,50,25,25,0,12,25,62,87,87,0,25,50,75,100,100,0,0,0,50,75,75,6,3,2,2,0,0,4,3,2,75,38,25,50,0,0,100,75,50,25,25,25,9,25,25,25,25,0,50,50,75,25,38,25,50,5,3,2,63,75,50,5,3,2,63,75,50,0,0,0,0,0,0,38,25,50,25,50,0,38,25,50,4.00,4.00,0.00,1.38,1.25,1.50,100,0,0,0,0,0,0,0,0.40,1.40,0.00,0.00,0.56,0.00,50,1,3,1,0,0,2,0,0,2,0,2,0,2,2,3,1,4,3,0,0,0,75,75,75,0
Saudi Arabia National Team,Saudi Arabia,2026,Saudi Arabia,18,9,9,0,8,3,5,6,3,3,4,3,1,1.67,1.33,2,2,0,0,9,22,13,9,35,16,19,9,13,7,6,2,7,74,90,63,125,115,134,10,5,5,6,3,3,6,3,3,9,5,4,70,36,34,32,15,17,62,68,57,193,109,84,61,33,28,132,76,56,114,66,48,13,5,8,8,5,3,5,0,5,6,2,4,9,5,4,3,2,1,1.5,1.22,1.78,1.94,1.78,2.11,1.22,1,1.44,0.72,0.78,0.67,1.17,1.11,1.22,0.72,0.56,0.89,0.44,0.56,0.33,14,12,6,2,1,0,7,5,3,1,0,0,7,7,3,1,1,0,4,6,12,16,17,18,2,4,6,8,9,9,2,2,6,8,8,9,78,67,33,11,6,0,78,56,33,11,0,0,78,78,33,11,11,0,22,33,67,89,94,100,22,44,67,89,100,100,22,22,67,89,89,100,12,7,2,6,3,1,6,4,1,67,39,11,67,33,11,67,44,11,44,33,56,-13,56,56,56,33,33,33,33,33,33,50,56,44,11,5,6,61,56,67,8,4,4,44,44,44,5,3,2,28,33,22,33,22,44,50,56,44,17,22,11,5.00,5.14,4.86,1.78,1.67,1.89,79,64,43,36,28,14,7,7,1.50,1.75,1.24,1.00,0.62,1.39,17,2,4,3,2,5,1,1,1,3,0,4,1,1,3,1,0,1,2,33,33,33,22,33,11,7
Pakistan National Team,Pakistan,2026,Pakistan,8,4,4,0,1,1,0,1,0,1,6,3,3,0.5,0.75,0.25,4,0,0,34,2,26,-24,28,14,14,2,0,12,14,-10,-14,360,180,0,28,30,26,2,1,1,1,1,0,6,2,4,1,1,0,6,5,1,18,8,10,39,33,50,11,6,5,2,1,1,9,5,4,24,13,11,1,1,0,12,8,4,-11,-7,-4,0,0,0,2,1,1,6,3,3,0.25,0.25,0.25,3.5,3.5,3.5,0.25,0.5,0,3.25,3,3.5,1.63,2.25,1,0.13,0.25,0,1.5,2,1,7,6,6,3,2,2,4,3,3,1,1,1,3,3,3,2,1,1,1,2,2,5,6,6,0,1,1,3,3,3,1,1,1,2,3,3,88,75,75,38,25,25,100,75,75,25,25,25,75,75,75,50,25,25,12,25,25,62,75,75,0,25,25,75,75,75,25,25,25,50,75,75,6,4,1,3,3,1,3,1,0,75,50,13,75,75,25,75,25,0,13,25,0,54,25,25,25,13,25,0,75,50,100,13,25,0,2,1,1,25,25,25,7,3,4,88,75,100,1,1,0,13,25,0,0,0,0,25,25,25,75,75,75,2.00,2.50,1.00,2.25,2,2.50,67,33,0,0,0,0,0,0,0.56,0.59,0.53,1.13,1.09,1.18,88,0,0,1,0,0,0,1,0,0,4,2,3,1,3,2,4,2,5,13,0,25,75,75,75,0
Palestine National Team,Palestine,2026,Palestine,16,8,8,0,4,2,2,6,4,2,6,2,4,1.13,1.25,1,2,0,0,14,16,19,-3,35,21,14,12,4,9,10,3,-6,90,60,180,76,80,72,6,2,4,6,5,1,7,2,5,5,3,2,54,30,24,36,19,17,43,46,40,122,58,64,37,17,20,85,41,44,129,61,68,7,5,2,12,5,7,-5,0,-5,2,1,1,9,5,4,5,2,3,0.94,1,0.88,2.19,2.63,1.75,1,1.5,0.5,1.19,1.13,1.25,1.19,1.25,1.13,0.44,0.63,0.25,0.75,0.63,0.88,13,9,6,5,2,0,7,6,4,3,1,0,6,3,2,2,1,0,3,7,10,11,14,16,1,2,4,5,7,8,2,5,6,6,7,8,81,56,38,31,13,0,88,75,50,38,13,0,75,38,25,25,13,0,19,44,62,69,87,100,12,25,50,62,87,100,25,62,75,75,87,100,10,6,2,6,4,0,4,2,2,63,38,13,75,50,0,50,25,25,25,25,25,28,38,25,50,38,63,13,44,25,63,31,38,25,8,3,5,50,38,63,10,4,6,63,50,75,4,3,1,25,38,13,13,13,13,56,63,50,31,25,38,4.91,6.00,4.00,2.25,2.38,2.13,82,82,73,55,45,36,36,27,1.29,1.29,1.28,1.23,1.36,1.10,38,0,1,0,2,6,1,0,1,5,3,3,1,3,3,1,0,2,3,38,50,25,38,25,50,18
Oman National Team,Oman,2026,Oman,16,8,8,0,7,4,3,3,2,1,6,2,4,1.5,1.75,1.25,3,0,0,12,20,14,6,34,17,17,12,8,5,9,7,-1,72,60,90,102,143,80,8,5,3,4,2,2,5,2,3,8,4,4,53,27,26,25,12,13,50,49,52,127,63,64,38,19,19,89,44,45,113,68,45,8,5,3,6,3,3,2,2,0,5,2,3,6,4,2,5,2,3,1.31,1.25,1.38,2.13,2.13,2.13,1.25,1.5,1,0.88,0.63,1.13,0.88,1,0.75,0.5,0.63,0.38,0.38,0.38,0.38,15,10,6,3,0,0,7,5,3,2,0,0,8,5,3,1,0,0,1,6,10,13,16,16,1,3,5,6,8,8,0,3,5,7,8,8,94,63,38,19,0,0,88,63,38,25,0,0,100,63,38,13,0,0,6,37,62,81,100,100,12,37,62,75,100,100,0,37,62,87,100,100,11,3,0,5,3,0,6,0,0,69,19,0,63,38,0,75,0,0,44,50,38,24,50,63,38,25,25,25,31,25,38,50,50,50,10,5,5,63,63,63,10,5,5,63,63,63,1,1,0,6,13,0,31,25,38,38,50,25,31,25,38,4.42,4.50,4.33,1.56,1.5,1.63,100,67,67,42,33,25,8,0,1.09,1.38,0.79,1.31,1.27,1.36,31,0,3,1,1,3,5,0,3,4,1,2,1,1,3,1,0,1,4,19,25,13,38,25,50,0
Lebanon National Team,Lebanon,2026,Lebanon,6,3,3,0,1,1,0,3,1,2,2,1,1,1,1.33,0.67,3,0,0,27,5,8,-3,13,9,4,4,1,5,3,-1,-2,108,68,273,68,54,90,3,2,1,1,0,1,4,2,2,2,1,1,0,0,0,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,0,1,-1,1,1,0,3,1,2,2,1,1,1,1.33,0.67,2.17,3,1.33,0.83,1.33,0.33,1.33,1.67,1,0.67,1,0.33,0.33,0.67,0,0.33,0.33,0.33,4,4,2,2,1,0,2,2,2,2,1,0,2,2,0,0,0,0,2,2,4,4,5,6,1,1,1,1,2,3,1,1,3,3,3,3,67,67,33,33,17,0,67,67,67,67,33,0,67,67,0,0,0,0,33,33,67,67,83,100,33,33,33,33,67,100,33,33,100,100,100,100,3,1,0,2,1,0,1,0,0,50,17,0,67,33,0,33,0,0,17,33,0,17,50,67,33,17,0,33,67,67,67,33,33,33,4,2,2,67,67,67,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,50,33,67,33,33,33,0.00,0.00,0.00,2.33,2.33,2.33,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,1,0,0,0,2,1,1,0,0,2,0,0,0,2,1,1,1,1,50,33,67,33,33,33,0
