timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1711134000,Mar 22 2024 - 7:00pm,complete,N/A,Anguilla,Turks and Caicos Islands,Natalie Simon,N/A,0.00,0.00,0.33,1.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1711141200,Mar 22 2024 - 9:00pm,complete,N/A,US Virgin Islands,British Virgin Islands,N/A,N/A,0.00,0.00,1.00,0.33,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1711479600,Mar 26 2024 - 7:00pm,complete,N/A,British Virgin Islands,US Virgin Islands,N/A,N/A,1.00,1.00,0.33,1.00,0,0,0,0,0,0,"","",-1,-1,2,0,1,1,0,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,100,100,0,0,0,0,0,0,0,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1711494000,Mar 26 2024 - 11:00pm,complete,N/A,Turks and Caicos Islands,Anguilla,N/A,N/A,1.00,1.00,1.00,0.33,1,1,2,2,1,1,"23","45'3",-1,-1,3,0,4,0,1,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1717614000,Jun 05 2024 - 7:00pm,complete,N/A,Antigua and Barbuda,Bermuda,N/A,1,0.00,0.00,0.25,0.80,1,1,2,1,1,0,"26","90",2,6,1,0,3,0,0,1,1,2,5,19,4,8,1,11,13,17,36,64,0.00,0.00,0.87,2.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.70,3.40,1.15,1.36,2.38,4.30,1.36,3.00,N/A
1717621200,Jun 05 2024 - 9:00pm,complete,N/A,Suriname,St. Vincent / Grenadines,Joe Dickerson,1,0.00,0.00,1.90,0.75,4,1,5,3,2,1,"39,45'2,46,70","31",5,8,3,0,1,0,2,1,0,1,14,8,6,4,8,4,15,15,67,33,0.00,0.00,1.61,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,12.00,26.00,1.08,1.28,1.70,2.64,2.60,1.53,N/A
1717630200,Jun 05 2024 - 11:30pm,complete,N/A,Trinidad and Tobago,Grenada,Mario Alberto Escobar Toca,1,0.00,0.00,1.40,1.75,2,2,4,3,1,2,"43,74","24,28",4,2,2,0,1,0,1,1,0,1,12,13,5,6,7,7,1,4,58,42,0.00,0.00,1.41,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,5.75,10.00,1.09,1.40,1.96,3.20,1.75,2.00,Hasely Crawford Stadium
1717630200,Jun 05 2024 - 11:30pm,complete,N/A,Curaçao,Barbados,Ivan Barton,1,0.00,0.00,2.40,0.25,4,1,5,1,1,0,"25,62,86,90'2","90'2",4,3,2,0,1,0,0,2,0,1,12,7,4,5,8,2,2,3,63,37,0.00,0.00,1.33,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.03,17.50,71.00,1.01,1.11,1.29,1.64,2.16,1.65,N/A
1717639200,Jun 06 2024 - 2:00am,complete,N/A,Guatemala,Dominica,Víctor Alfonso Cáceres Hernández,1,0.00,0.00,1.70,0.75,6,0,6,2,2,0,"4,27,48,58,78,83","",10,3,1,0,1,0,1,0,1,0,23,8,15,2,8,6,9,8,68,32,0.00,0.00,3.29,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,17.00,34.00,1.12,1.29,2.00,3.30,3.75,1.25,Estadio Nacional Mateo Flores
1717639200,Jun 06 2024 - 2:00am,complete,N/A,Nicaragua,Montserrat,N/A,1,0.00,0.00,1.30,0.75,4,1,5,3,2,1,"3,23,69,90'3","23",2,3,0,0,2,0,0,0,0,2,11,4,7,2,4,2,8,12,70,30,0.00,0.00,1.79,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,9.00,15.00,1.13,1.50,2.28,4.00,2.50,1.50,Estadio Olimpico del IND Managua
