team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Puerto Rico FC,Puerto Rico,2026,Puerto Rico,4,2,2,0,2,2,0,1,0,1,1,0,1,1.75,3,0.5,3,0,0,14,10,2,8,12,11,1,10,0,1,1,9,-1,36,18,0,180,180,180,2,1,1,1,1,0,2,0,2,2,2,0,17,9,8,6,3,3,54,64,44,39,32,7,18,17,1,21,15,6,60,29,31,3,3,0,0,0,0,3,3,0,2,2,0,2,0,2,0,0,0,2,3,1,3,5.5,0.5,2.5,5,0,0.5,0.5,0.5,0.75,1.5,0,0.75,1.5,0,0,0,0,3,2,2,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,1,2,2,3,3,3,0,0,0,1,1,1,1,2,2,2,2,2,75,50,50,25,25,25,100,100,100,50,50,50,50,0,0,0,0,0,25,50,50,75,75,75,0,0,0,50,50,50,50,100,100,100,100,100,2,1,0,2,1,0,0,0,0,50,25,0,100,50,0,0,0,0,50,100,0,0,50,50,50,25,50,0,50,0,100,50,100,0,4,2,2,100,100,100,2,0,2,50,0,100,0,0,0,0,0,0,50,100,0,50,0,100,0,0,0,4.25,4.50,4.00,1.5,1.5,1.50,75,75,50,25,0,0,0,0,1.25,1.99,0.51,1.05,0.68,1.43,125,0,1,1,1,1,2,2,1,1,0,0,0,0,1,0,0,1,0,25,0,50,25,0,50,0
Honduras National Team,Honduras,2026,Honduras,10,5,5,0,6,4,2,3,1,2,1,0,1,2.1,2.6,1.6,2,0,0,4,17,4,13,21,11,10,10,7,1,3,9,4,53,45,64,225,450,150,7,4,3,2,1,1,4,1,3,5,3,2,85,43,42,11,5,6,62,62,61,186,87,99,65,33,32,121,54,67,113,66,47,6,5,1,3,1,2,3,4,-1,2,2,0,7,3,4,1,0,1,1.3,1.8,0.8,2.1,2.2,2,1.7,2,1.4,0.4,0.2,0.6,0.9,1.2,0.6,0.6,1,0.2,0.3,0.2,0.4,7,6,3,2,1,1,4,4,2,1,0,0,3,2,1,1,1,1,3,4,7,8,9,9,1,1,3,4,5,5,2,3,4,4,4,4,70,60,30,20,10,10,80,80,40,20,0,0,60,40,20,20,20,20,30,40,70,80,90,90,20,20,60,80,100,100,40,60,80,80,80,80,4,3,2,2,2,2,2,1,0,40,30,20,40,40,40,40,20,0,60,80,40,34,70,80,60,20,20,20,40,20,60,50,60,40,7,4,3,70,80,60,7,3,4,70,60,80,2,1,1,20,20,20,20,40,0,70,60,80,10,0,20,8.50,8.60,8.40,1.1,1,1.20,90,90,80,60,60,60,60,50,2.15,2.08,2.22,0.90,0.72,1.08,50,0,2,2,1,4,2,1,1,4,0,1,1,0,1,0,0,0,1,30,20,40,10,0,20,40
Costa Rica National Team,Costa Rica,2026,Costa Rica,10,5,5,0,5,3,2,4,2,2,1,0,1,1.9,2.2,1.6,3,0,0,6,25,7,18,32,18,14,13,12,5,2,8,10,36,35,38,129,90,225,5,2,3,4,3,1,3,1,2,7,4,3,66,38,28,17,10,7,53,54,51,178,92,86,76,42,34,102,50,52,135,66,69,12,7,5,2,1,1,10,6,4,6,4,2,3,1,2,1,0,1,2.1,2.6,1.6,3.2,3.6,2.8,2.5,2.6,2.4,0.7,1,0.4,1.4,1.6,1.2,1.2,1.4,1,0.2,0.2,0.2,8,7,6,4,3,2,4,4,4,3,2,1,4,3,2,1,1,1,2,3,4,6,7,8,1,1,1,2,3,4,1,2,3,4,4,4,80,70,60,40,30,20,80,80,80,60,40,20,80,60,40,20,20,20,20,30,40,60,70,80,20,20,20,40,60,80,20,40,60,80,80,80,7,5,2,4,3,1,3,2,1,70,50,20,80,60,20,60,40,20,50,60,40,-20,50,40,60,40,60,20,30,20,40,70,80,60,8,4,4,80,80,80,4,1,3,40,20,60,1,1,0,10,20,0,60,80,40,30,20,40,10,0,20,6.60,7.60,5.60,1.7,2,1.40,90,90,70,70,30,20,20,20,2.03,2.20,1.86,0.97,1.15,0.79,60,2,2,2,5,4,2,2,1,5,0,0,1,0,1,3,0,0,2,40,40,40,10,0,20,0
Haiti National Team,Haiti,2026,Haiti,10,5,5,0,6,3,3,2,1,1,2,1,1,2,2,2,1,0,0,5,20,13,7,33,12,21,6,14,6,7,0,7,45,75,32,69,75,64,5,3,2,4,2,2,2,1,1,5,2,3,46,27,19,14,8,6,56,54,59,147,74,73,57,25,32,90,49,41,146,78,68,9,3,6,8,3,5,1,0,1,5,2,3,1,1,0,4,2,2,1.6,1.4,1.8,3.3,2.4,4.2,2,1.2,2.8,1.3,1.2,1.4,1.7,1.2,2.2,0.9,0.6,1.2,0.8,0.6,1,9,8,7,4,3,2,4,3,2,1,1,1,5,5,5,3,2,1,1,2,3,6,7,8,1,2,3,4,4,4,0,0,0,2,3,4,90,80,70,40,30,20,80,60,40,20,20,20,100,100,100,60,40,20,10,20,30,60,70,80,20,40,60,80,80,80,0,0,0,40,60,80,9,7,1,4,2,0,5,5,1,90,70,10,80,40,0,100,100,20,60,60,60,-16,50,60,40,40,40,40,20,20,20,50,40,60,6,3,3,60,60,60,5,3,2,50,60,40,0,0,0,0,0,0,50,40,60,10,20,0,40,40,40,4.60,5.40,3.80,1.4,1.6,1.20,70,60,50,40,40,40,30,20,1.71,1.68,1.73,1.45,1.28,1.62,90,1,2,1,2,4,2,3,1,4,1,4,1,2,0,0,1,1,3,20,20,20,20,20,20,0
Jamaica National Team,Jamaica,2026,Jamaica,10,5,5,0,7,4,3,2,1,1,1,0,1,2.3,2.6,2,2,0,0,3,19,5,14,24,10,14,10,9,0,5,10,4,47,45,50,180,0,90,7,5,2,2,0,2,2,1,1,8,4,4,53,27,26,20,12,8,57,60,54,149,76,73,54,27,27,95,49,46,110,50,60,12,7,5,1,0,1,11,7,4,7,4,3,2,1,1,1,0,1,2.3,2.6,2,2.4,2,2.8,1.9,2,1.8,0.5,0,1,1.3,1.4,1.2,1.2,1.4,1,0.1,0,0.2,9,7,4,3,1,0,4,3,2,1,0,0,5,4,2,2,1,0,1,3,6,7,9,10,1,2,3,4,5,5,0,1,3,3,4,5,90,70,40,30,10,0,80,60,40,20,0,0,100,80,40,40,20,0,10,30,60,70,90,100,20,40,60,80,100,100,0,20,60,60,80,100,8,4,1,4,2,1,4,2,0,80,40,10,80,40,20,80,40,0,70,80,60,53,70,100,40,20,0,40,20,20,20,80,80,80,9,5,4,90,100,80,3,1,2,30,20,40,0,0,0,0,0,0,70,80,60,20,20,20,10,0,20,5.30,5.40,5.20,2,2.4,1.60,60,40,30,20,20,10,10,0,1.70,1.79,1.60,1.04,1.03,1.04,50,1,2,5,3,1,3,0,3,1,0,1,0,0,0,0,1,0,3,20,20,20,10,0,20,0
Curaçao National Team,Curaçao,2026,Curaçao,10,5,5,0,7,4,3,3,1,2,0,0,0,2.4,2.6,2.2,1,0,0,1,28,5,23,33,18,15,14,14,4,1,10,13,32,32,32,180,113,450,6,2,4,4,3,1,2,0,2,8,5,3,48,26,22,11,6,5,55,54,55,154,76,78,64,29,35,90,47,43,94,34,60,10,6,4,2,2,0,8,4,4,6,4,2,4,1,3,0,0,0,2.2,2.6,1.8,3.3,3.6,3,2.8,2.8,2.8,0.5,0.8,0.2,1.2,1.6,0.8,1,1.2,0.8,0.2,0.4,0,8,8,5,5,4,2,5,5,3,3,2,0,3,3,2,2,2,2,2,2,5,5,6,8,0,0,2,2,3,5,2,2,3,3,3,3,80,80,50,50,40,20,100,100,60,60,40,0,60,60,40,40,40,40,20,20,50,50,60,80,0,0,40,40,60,100,40,40,60,60,60,60,7,3,1,5,1,1,2,2,0,70,30,10,100,20,20,40,40,0,70,80,60,-30,60,40,80,40,60,20,20,0,40,80,100,60,9,4,5,90,80,100,3,0,3,30,0,60,1,1,0,10,20,0,60,80,40,40,20,60,0,0,0,4.80,5.20,4.40,1.1,1.2,1.00,70,50,50,50,20,10,10,0,1.66,1.36,1.89,1.29,1.23,1.33,90,1,5,2,2,1,4,4,2,7,0,0,0,1,1,1,1,0,1,30,20,40,0,0,0,0
Turks and Caicos Islands National Team,Turks and Caicos Islands,2026,Turks and Caicos Islands,2,1,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,27,1,1,0,2,2,0,1,0,1,0,0,0,180,90,0,180,90,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1,2,0,0.5,1,0,0.5,1,0,1,2,0,0.5,1,0,0.5,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,50,50,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,50,50,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,1,1,0,1,1,0,0,0,0,50,50,0,100,100,0,0,0,0,0,0,0,0,50,0,100,50,100,0,50,0,100,50,100,0,1,0,1,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,100,100,100,0,0,0,0.00,0.00,0.00,3,3,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,100,100,0,0,0,0
Barbados National Team,Barbados,2026,Barbados,4,2,2,0,0,0,0,1,1,0,3,1,2,0.25,0.5,0,5,0,0,29,4,10,-6,14,6,8,2,2,4,6,-2,-4,90,90,90,36,45,30,0,0,0,4,2,2,0,0,0,2,1,1,17,12,5,7,4,3,45,49,42,41,24,17,18,11,7,23,13,10,41,23,18,2,1,1,5,3,2,-3,-2,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3.5,3,4,1,1,1,2.5,2,3,1.75,2,1.5,0.5,0.5,0.5,1.25,1.5,1,4,4,3,2,1,0,2,2,1,1,0,0,2,2,2,1,1,0,0,0,1,2,3,4,0,0,1,1,2,2,0,0,0,1,1,2,100,100,75,50,25,0,100,100,50,50,0,0,100,100,100,50,50,0,0,0,25,50,75,100,0,0,50,50,100,100,0,0,0,50,50,100,4,3,0,2,2,0,2,1,0,100,75,0,100,100,0,100,50,0,0,0,0,10,0,0,0,100,100,100,0,0,0,50,50,50,0,0,0,0,0,0,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,50,50,50,50,50,50,4.25,6.00,2.50,1.75,2,1.50,75,50,50,25,25,25,0,0,1.28,1.63,0.93,1.54,1.49,1.59,100,1,1,0,0,0,0,0,1,1,0,2,1,0,2,0,1,0,4,25,50,0,75,50,100,0
Dominica National Team,Dominica,2026,Dominica,4,2,2,0,1,1,0,0,0,0,3,1,2,0.75,1.5,0,4,0,0,20,5,14,-9,19,8,11,5,0,3,11,2,-11,72,36,0,26,60,16,1,1,0,1,1,0,2,0,2,1,1,0,12,6,6,1,0,1,39,46,32,31,19,12,11,8,3,20,11,9,34,21,13,2,2,0,8,2,6,-6,0,-6,1,1,0,0,0,0,3,1,2,0.75,1.5,0,4.75,4,5.5,1.25,2.5,0,3.5,1.5,5.5,2.5,2,3,0.5,1,0,2,1,3,4,4,4,3,3,1,2,2,2,1,1,0,2,2,2,2,2,1,0,0,0,1,1,3,0,0,0,1,1,2,0,0,0,0,0,1,100,100,100,75,75,25,100,100,100,50,50,0,100,100,100,100,100,50,0,0,0,25,25,75,0,0,0,50,50,100,0,0,0,0,0,50,4,4,1,2,2,0,2,2,1,100,100,25,100,100,0,100,100,50,25,50,0,79,25,50,0,25,50,0,50,0,100,25,50,0,1,1,0,25,50,0,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,0,0,0,75,50,100,3.00,3.00,3.00,0.25,0,0.50,100,100,100,75,50,25,25,0,0.97,1.21,0.73,2.60,1.61,3.60,150,0,0,1,1,0,0,0,1,2,1,1,2,2,3,1,0,2,2,0,0,0,75,50,100,0
Dominican Republic National Team,Dominican Republic,2026,Dominican Republic,4,2,2,0,2,2,0,0,0,0,2,0,2,1.5,3,0,3,0,0,17,11,5,6,16,9,7,9,2,0,5,9,-3,33,20,90,72,0,36,2,2,0,1,0,1,1,0,1,2,2,0,21,13,8,8,1,7,60,73,46,78,55,23,35,26,9,43,29,14,45,15,30,9,7,2,2,0,2,7,7,0,3,2,1,0,0,0,1,0,1,2.25,3,1.5,4,4.5,3.5,2.75,4.5,1,1.25,0,2.5,2.75,3.5,2,2.25,3.5,1,0.5,0,1,4,3,3,3,2,1,2,2,2,2,1,0,2,1,1,1,1,1,0,1,1,1,2,3,0,0,0,0,1,2,0,1,1,1,1,1,100,75,75,75,50,25,100,100,100,100,50,0,100,50,50,50,50,50,0,25,25,25,50,75,0,0,0,0,50,100,0,50,50,50,50,50,4,3,3,2,2,2,2,1,1,100,75,75,100,100,100,100,50,50,50,100,0,82,50,100,0,25,0,50,25,0,50,50,100,0,2,2,0,50,100,0,1,0,1,25,0,50,1,0,1,25,0,50,75,100,50,0,0,0,25,0,50,5.25,6.50,4.00,2,0.5,3.50,75,50,25,25,25,0,0,0,2.12,2.94,1.29,0.77,0.42,1.13,125,1,3,0,4,1,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,50,0,100,0
