team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2026,Finland,8,4,4,0,3,2,1,1,0,1,4,2,2,1.25,1.5,1,3,0,0,29,8,14,-6,22,9,13,4,4,5,9,-1,-5,90,90,90,51,72,40,1,0,1,4,2,2,3,2,1,3,1,2,30,19,11,9,4,5,48,50,46,80,45,35,35,21,14,45,24,21,106,55,51,4,1,3,9,3,6,-5,-2,-3,3,1,2,1,1,0,4,2,2,1.25,1,1.5,2.75,2.25,3.25,1,1,1,1.75,1.25,2.25,1.63,1,2.25,0.5,0.25,0.75,1.13,0.75,1.5,8,6,5,3,0,0,4,3,2,0,0,0,4,3,3,3,0,0,0,2,3,5,8,8,0,1,2,4,4,4,0,1,1,1,4,4,100,75,63,38,0,0,100,75,50,0,0,0,100,75,75,75,0,0,0,25,37,62,100,100,0,25,50,100,100,100,0,25,25,25,100,100,7,4,2,3,1,0,4,3,2,88,50,25,75,25,0,100,75,50,38,50,25,15,13,0,25,50,50,50,38,50,25,38,25,50,3,2,1,38,50,25,5,3,2,63,75,50,1,0,1,13,0,25,38,25,50,13,25,0,50,50,50,3.75,4.75,2.75,1.13,1,1.25,88,63,50,38,13,13,13,0,1.24,1.38,1.09,1.61,1.51,1.71,88,1,1,0,2,1,1,1,0,1,2,1,3,2,1,1,2,0,2,13,0,25,50,50,50,0
Gibraltar National Team,Gibraltar,2026,Gibraltar,8,4,4,0,0,0,0,0,0,0,8,4,4,0,0,0,5,0,0,53,3,28,-25,31,15,16,1,2,14,14,-13,-12,237,360,180,26,26,26,0,0,0,3,1,2,5,3,2,3,1,2,14,5,9,12,8,4,29,32,27,26,13,13,6,3,3,20,10,10,79,44,35,3,1,2,12,5,7,-9,-4,-5,1,0,1,2,1,1,5,3,2,0.63,0.25,1,3.88,3.75,4,0.38,0.25,0.5,3.5,3.5,3.5,1.88,1.5,2.25,0.38,0.25,0.5,1.5,1.25,1.75,8,7,7,4,2,2,4,3,3,2,1,1,4,4,4,2,1,1,0,1,1,4,6,6,0,1,1,2,3,3,0,0,0,2,3,3,100,88,88,50,25,25,100,75,75,50,25,25,100,100,100,50,25,25,0,12,12,50,75,75,0,25,25,50,75,75,0,0,0,50,75,75,7,4,2,3,2,1,4,2,1,88,50,25,75,50,25,100,50,25,0,0,0,0,0,0,0,38,25,50,63,75,50,38,25,50,2,1,1,25,25,25,5,3,2,63,75,50,2,1,1,25,25,25,13,0,25,25,25,25,63,75,50,1.75,1.25,2.25,1.5,2,1.00,100,100,100,100,75,75,50,25,0.41,0.41,0.40,2.72,2.69,2.75,163,0,2,1,0,0,0,0,0,0,1,1,5,3,3,2,3,7,3,0,0,0,100,100,100,13
Czech Republic National Team,Czech Republic,2026,Czech Republic,10,6,4,0,5,3,2,3,3,0,2,0,2,1.8,2,1.5,2,0,0,10,22,12,10,34,19,15,14,8,5,7,9,1,41,39,45,75,108,51,5,3,2,5,3,2,1,1,0,7,4,3,75,44,31,9,4,5,56,54,58,162,85,77,61,33,28,101,52,49,154,104,50,11,9,2,3,2,1,8,7,1,6,4,2,2,1,1,2,1,1,2,2.17,1.75,3.4,3.17,3.75,2.2,2.33,2,1.2,0.83,1.75,1.4,1.83,0.75,1.1,1.5,0.5,0.3,0.33,0.25,9,9,7,5,2,2,5,5,4,3,1,1,4,4,3,2,1,1,1,1,3,5,8,8,1,1,2,3,5,5,0,0,1,2,3,3,90,90,70,50,20,20,83,83,67,50,17,17,100,100,75,50,25,25,10,10,30,50,80,80,17,17,33,50,83,83,0,0,25,50,75,75,8,2,2,5,2,2,3,0,0,80,20,20,83,33,33,75,0,0,50,50,50,19,50,50,50,50,50,50,10,17,0,70,67,75,8,5,3,80,83,75,3,1,2,30,17,50,1,1,0,10,17,0,60,67,50,20,17,25,20,17,25,7.50,7.33,7.75,0.9,0.67,1.25,90,80,70,60,60,50,20,10,1.89,1.69,2.19,1.16,1.03,1.36,100,3,1,4,2,2,2,1,2,4,0,1,1,0,1,0,3,3,2,30,50,0,20,0,50,10
Montenegro National Team,Montenegro,2026,Montenegro,8,4,4,0,3,2,1,0,0,0,5,2,3,1.13,1.5,0.75,4,0,0,31,8,17,-9,25,12,13,6,2,6,11,0,-9,90,60,180,42,60,33,1,1,0,3,2,1,4,1,3,2,2,0,43,25,18,20,11,9,51,55,48,121,80,41,40,25,15,81,55,26,107,59,48,5,3,2,8,3,5,-3,0,-3,2,1,1,2,2,0,4,1,3,1,1.25,0.75,3.13,3,3.25,1,1.5,0.5,2.13,1.5,2.75,1.63,1.5,1.75,0.63,0.75,0.5,1,0.75,1.25,8,7,5,4,1,0,4,3,2,2,1,0,4,4,3,2,0,0,0,1,3,4,7,8,0,1,2,2,3,4,0,0,1,2,4,4,100,88,63,50,13,0,100,75,50,50,25,0,100,100,75,50,0,0,0,12,37,50,87,100,0,25,50,50,75,100,0,0,25,50,100,100,7,4,2,3,2,1,4,2,1,88,50,25,75,50,25,100,50,25,38,50,25,40,13,25,0,38,50,25,50,25,75,25,50,0,1,1,0,13,25,0,5,2,3,63,50,75,3,2,1,38,50,25,25,25,25,25,50,0,50,25,75,5.38,6.25,4.50,2.5,2.75,2.25,100,100,88,75,38,38,0,0,1.60,2.06,1.15,1.64,1.47,1.80,75,1,1,1,1,1,0,1,1,1,1,3,1,3,0,2,1,2,4,0,0,0,63,50,75,0
Serbia National Team,Serbia,2026,Serbia,8,4,4,0,4,2,2,1,0,1,3,2,1,1.63,1.5,1.75,3,0,0,23,9,10,-1,19,12,7,5,4,7,3,-2,1,80,72,90,72,51,120,3,1,2,2,1,1,4,2,2,2,1,1,55,29,26,11,6,5,55,56,54,113,57,56,34,20,14,79,37,42,97,49,48,4,2,2,6,4,2,-2,-2,0,2,1,1,2,0,2,4,3,1,1,0.75,1.25,2.38,3,1.75,1.13,1.25,1,1.25,1.75,0.75,1.25,1.5,1,0.5,0.5,0.5,0.75,1,0.5,7,5,4,2,1,0,4,3,3,1,1,0,3,2,1,1,0,0,1,3,4,6,7,8,0,1,1,3,3,4,1,2,3,3,4,4,88,63,50,25,13,0,100,75,75,25,25,0,75,50,25,25,0,0,12,37,50,75,87,100,0,25,25,75,75,100,25,50,75,75,100,100,7,3,0,4,2,0,3,1,0,88,38,0,100,50,0,75,25,0,50,50,50,-15,38,25,50,25,25,25,50,50,50,25,25,25,3,1,2,38,25,50,5,3,2,63,75,50,1,0,1,13,0,25,25,25,25,25,0,50,50,75,25,6.88,7.25,6.50,1.38,1.5,1.25,88,88,63,63,38,13,13,13,1.58,1.68,1.48,1.18,1.22,1.14,38,0,3,1,0,1,3,0,1,0,0,2,1,2,1,1,0,1,2,13,0,25,38,50,25,13
Andorra National Team,Andorra,2026,Andorra,8,4,4,0,0,0,0,1,0,1,7,4,3,0.13,0,0.25,5,0,0,50,3,16,-13,19,7,12,1,2,6,10,-5,-8,237,360,180,45,60,36,0,0,0,2,1,1,6,3,3,2,1,1,6,4,2,16,8,8,26,29,23,30,18,12,6,4,2,24,14,10,108,55,53,2,1,1,7,1,6,-5,0,-5,0,0,0,5,4,1,3,0,3,0.63,1,0.25,2.38,1.75,3,0.38,0.25,0.5,2,1.5,2.5,1.13,0.5,1.75,0.25,0.25,0.25,0.88,0.25,1.5,8,5,4,2,0,0,4,1,1,1,0,0,4,4,3,1,0,0,0,3,4,6,8,8,0,3,3,3,4,4,0,0,1,3,4,4,100,63,50,25,0,0,100,25,25,25,0,0,100,100,75,25,0,0,0,37,50,75,100,100,0,75,75,75,100,100,0,0,25,75,100,100,5,4,0,1,1,0,4,3,0,63,50,0,25,25,0,100,75,0,0,0,0,-5,0,0,0,25,25,25,75,75,75,25,25,25,3,3,0,38,75,0,6,3,3,75,75,75,2,1,1,25,25,25,0,0,0,63,100,25,38,0,75,0.75,1.00,0.50,2,2,2.00,50,50,38,38,25,13,0,0,0.41,0.52,0.30,1.75,1.72,1.78,50,0,1,0,1,0,0,0,1,0,1,3,2,0,2,4,2,1,1,13,0,25,88,100,75,0
Austria National Team,Austria,2026,Austria,8,4,4,0,6,3,3,1,1,0,1,0,1,2.38,2.5,2.25,1,0,0,9,22,4,18,26,16,10,14,8,2,2,12,6,33,26,45,180,180,180,4,2,2,3,2,1,1,0,1,6,3,3,35,20,15,15,4,11,64,68,61,107,59,48,54,29,25,53,30,23,115,47,68,12,7,5,1,1,0,11,6,5,4,2,2,3,1,2,1,1,0,1.88,1.75,2,3.25,4,2.5,2.75,3.5,2,0.5,0.5,0.5,1.63,2,1.25,1.5,1.75,1.25,0.13,0.25,0,8,6,4,2,1,1,4,3,2,1,1,1,4,3,2,1,0,0,0,2,4,6,7,7,0,1,2,3,3,3,0,1,2,3,4,4,100,75,50,25,13,13,100,75,50,25,25,25,100,75,50,25,0,0,0,25,50,75,87,87,0,25,50,75,75,75,0,25,50,75,100,100,5,2,2,3,1,1,2,1,1,63,25,25,75,25,25,50,25,25,75,75,75,0,50,50,50,38,50,25,13,0,25,75,75,75,7,3,4,88,75,100,4,2,2,50,50,50,0,0,0,0,0,0,50,50,50,38,25,50,13,25,0,4.38,5.00,3.75,1.88,1,2.75,50,50,50,25,13,0,0,0,1.76,1.95,1.56,0.93,0.94,0.92,125,3,3,3,0,5,3,1,2,2,0,1,0,0,1,0,0,0,2,13,25,0,13,0,25,0
San Marino National Team,San Marino,2026,San Marino,8,4,4,0,0,0,0,0,0,0,8,4,4,0,0,0,5,0,0,52,2,39,-37,41,20,21,1,1,19,20,-18,-19,360,360,360,18,19,18,0,0,0,2,1,1,6,3,3,1,0,1,15,9,6,21,10,11,29,29,29,35,18,17,8,4,4,27,14,13,115,59,56,1,0,1,17,8,9,-16,-8,-8,0,0,0,2,0,2,6,4,2,0.25,0,0.5,5.13,5,5.25,0.25,0.25,0.25,4.88,4.75,5,2.25,2,2.5,0.13,0,0.25,2.13,2,2.25,8,7,6,6,4,4,4,4,4,4,2,2,4,3,2,2,2,2,0,1,2,2,4,4,0,0,0,0,2,2,0,1,2,2,2,2,100,88,75,75,50,50,100,100,100,100,50,50,100,75,50,50,50,50,0,12,25,25,50,50,0,0,0,0,50,50,0,25,50,50,50,50,6,4,3,4,2,1,2,2,2,75,50,38,100,50,25,50,50,50,0,0,0,2,0,0,0,25,25,25,75,75,75,13,0,25,2,0,2,25,0,50,7,4,3,88,100,75,1,0,1,13,0,25,0,0,0,25,0,50,75,100,50,1.88,2.25,1.50,2.63,2.5,2.75,63,38,38,25,25,13,0,0,0.45,0.45,0.45,2.61,2.47,2.76,225,1,0,0,0,0,0,1,0,0,5,3,5,0,5,4,3,5,9,0,0,0,100,100,100,0
FYR Macedonia National Team,FYR Macedonia,2026,FYR Macedonia,9,4,5,0,3,1,2,4,3,1,2,0,2,1.44,1.5,1.4,3,0,0,21,13,14,-1,27,11,16,8,5,3,11,5,-6,63,45,90,58,120,41,4,1,3,4,3,1,2,0,2,3,1,2,34,20,14,21,11,10,44,49,41,91,53,38,34,18,16,57,35,22,88,42,46,5,1,4,4,1,3,1,0,1,3,1,2,4,2,2,2,1,1,1.44,1.25,1.6,3,2.75,3.2,1.44,2,1,1.56,0.75,2.2,1,0.5,1.4,0.56,0.25,0.8,0.44,0.25,0.6,8,7,4,3,2,1,4,4,1,1,1,0,4,3,3,2,1,1,1,2,5,6,7,8,0,0,3,3,3,4,1,2,2,3,4,4,89,78,44,33,22,11,100,100,25,25,25,0,80,60,60,40,20,20,11,22,56,67,78,89,0,0,75,75,75,100,20,40,40,60,80,80,5,2,1,2,0,0,3,2,1,56,22,11,50,0,0,60,40,20,33,25,40,46,44,25,60,44,75,20,22,0,40,33,25,40,7,3,4,78,75,80,5,3,2,56,75,40,1,0,1,11,0,20,33,25,40,44,50,40,22,25,20,3.78,5.00,2.80,2.33,2.75,2.00,89,78,78,56,44,33,22,11,1.14,1.47,0.89,1.62,1.29,1.87,111,1,1,1,1,1,2,0,1,5,0,1,2,1,1,4,0,2,3,44,75,20,22,0,40,11
Norway National Team,Norway,2026,Norway,8,4,4,0,8,4,4,0,0,0,0,0,0,3,3,3,1,0,0,2,37,5,32,42,25,17,23,14,2,3,21,11,19,16,26,143,180,120,4,2,2,4,2,2,0,0,0,7,4,3,40,23,17,8,2,6,58,58,57,155,76,79,61,33,28,94,43,51,71,36,35,16,11,5,1,0,1,15,11,4,5,3,2,2,1,1,1,0,1,2.13,2.5,1.75,5.25,6.25,4.25,4.63,5.75,3.5,0.63,0.5,0.75,2.13,2.75,1.5,2,2.75,1.25,0.13,0,0.25,8,7,7,6,6,2,4,4,4,3,3,1,4,3,3,3,3,1,0,1,1,2,2,6,0,0,0,1,1,3,0,1,1,1,1,3,100,88,88,75,75,25,100,100,100,75,75,25,100,75,75,75,75,25,0,12,12,25,25,75,0,0,0,25,25,75,0,25,25,25,25,75,6,4,4,3,3,3,3,1,1,75,50,50,75,75,75,75,25,25,100,100,100,23,50,50,50,50,50,50,0,0,0,88,100,75,7,4,3,88,100,75,3,1,2,38,25,50,0,0,0,0,0,0,63,75,50,25,25,25,13,0,25,5.00,5.75,4.25,1,0.5,1.50,63,63,25,13,13,13,0,0,2.21,2.20,2.22,0.87,0.60,1.14,225,2,3,3,4,5,4,7,5,4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
