timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1725573600,Sep 05 2024 - 10:00pm,complete,N/A,Cook Islands,Tonga,N/A,N/A,0.00,0.00,0.00,1.50,1,3,4,2,0,2,"63","39,27,79",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1725588000,Sep 06 2024 - 2:00am,complete,N/A,American Samoa,Samoa,N/A,N/A,0.00,0.00,0.00,1.20,0,2,2,0,0,0,"","59,90'7",-1,-1,4,0,3,1,2,2,1,3,10,2,3,1,7,1,-1,-1,50,50,0.00,0.00,1.22,0.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1725847200,Sep 09 2024 - 2:00am,complete,N/A,Tonga,Samoa,N/A,N/A,3.00,3.00,1.50,1.20,1,2,3,1,1,0,"45'1","86,105'3",-1,-1,2,0,3,0,1,1,0,3,1,1,1,1,0,0,-1,-1,50,50,0.00,0.44,0.00,0.00,3.00,50,100,50,50,0,50,50,100,100,0.00,6.00,8.00,5.20,1.40,0.00,0.00,2.05,0.00,0.00,0.00,N/A
1728532800,Oct 10 2024 - 4:00am,complete,N/A,New Caledonia,Papua New Guinea,Campbell-Kirk Waugh,1,0.00,0.00,2.00,0.33,3,1,4,2,2,0,"20,45,83","78",-1,-1,2,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.60,4.75,1.33,2.10,4.00,8.00,1.95,1.75,N/A
1728543600,Oct 10 2024 - 7:00am,complete,N/A,Solomon Islands,Fiji,N/A,1,0.00,0.00,1.00,1.25,0,1,1,1,0,1,"","13",5,7,2,0,2,1,0,2,2,1,4,8,2,1,2,7,-1,-1,50,50,0.00,0.00,0.83,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,3.40,1.70,1.31,2.10,3.52,6.45,2.00,1.73,N/A
1728612000,Oct 11 2024 - 2:00am,complete,N/A,New Zealand,Tahiti,N/A,1,0.00,0.00,3.00,1.50,3,0,3,1,1,0,"2,67,89","",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,13.00,41.00,1.05,1.22,1.60,2.30,3.00,1.36,N/A
1728702000,Oct 12 2024 - 3:00am,complete,N/A,Vanuatu,Samoa,N/A,1,0.00,3.00,1.00,1.20,4,1,5,2,2,0,"7,36,59,90'1","54",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.44,0.00,0.00,1.25,25,50,25,0,0,0,25,50,50,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.14,1.41,2.82,1.41,N/A
1731553200,Nov 14 2024 - 3:00am,complete,N/A,Solomon Islands,New Caledonia,Calvin Berg,2,0.00,3.00,1.00,2.00,2,3,5,3,2,1,"9,39","6,59,69",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.83,0.00,0.00,0.00,2.50,50,50,50,50,0,50,100,50,50,5.00,4.00,4.50,3.50,1.70,1.36,2.20,4.50,9.00,2.10,1.67,N/A
1731564000,Nov 14 2024 - 6:00am,complete,N/A,Papua New Guinea,Fiji,Matthew Conger,2,0.00,3.00,0.33,1.25,3,3,6,3,2,1,"2,45,90'4","42,54,90'5",-1,-1,2,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.88,0.00,0.00,2.50,50,50,50,50,0,50,100,50,50,7.00,4.00,3.03,3.27,2.30,1.25,1.92,3.30,6.50,1.80,1.91,N/A
1731639600,Nov 15 2024 - 3:00am,complete,N/A,Samoa,Tahiti,N/A,2,2.00,0.00,1.20,1.50,0,3,3,0,0,0,"","59,65,87",4,7,1,0,2,0,0,1,0,2,4,18,0,9,4,9,-1,-1,50,50,0.44,0.00,0.49,2.15,3.17,34,100,84,17,17,17,84,100,100,0.00,4.00,12.00,6.00,1.18,1.05,1.30,1.73,2.88,1.80,1.91,N/A
1731652200,Nov 15 2024 - 6:30am,complete,N/A,New Zealand,Vanuatu,N/A,2,3.00,3.00,3.00,1.00,8,1,9,6,5,1,"11,23,24,31,38,74,82,89","17",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,50,100,100,50,50,50,100,100,100,0.00,2.00,1.01,8.36,23.99,1.01,1.07,1.22,1.71,3.55,1.25,N/A
