team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Tonga National Team,Tonga,2026,Tonga,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,0,0,8,4,3,1,7,3,4,1,3,2,1,-1,2,45,90,30,60,45,90,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,3,2,1,50,50,0,1,1,0,1,1,0,0,0,0,0,0,0,3,1,2,0,0,0,3,1,2,2,1,1,0,0,0,0,0,0,3,3,3,3.5,3,4,2,1,3,1.5,2,1,1.5,1,2,1.5,1,2,0,0,0,2,2,2,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,2,2,0,0,0,1,1,1,0,0,0,0,1,1,100,100,100,50,0,0,100,100,100,0,0,0,100,100,100,100,0,0,0,0,0,50,100,100,0,0,0,100,100,100,0,0,0,0,100,100,2,1,0,1,0,0,1,1,0,100,50,0,100,0,0,100,100,0,50,0,100,-42,0,0,0,100,100,100,0,0,0,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0.00,0.00,0.00,1.5,2,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,50,100,0,0
American Samoa,American Samoa,2026,American Samoa,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,2,-2,2,2,0,0,0,2,0,-2,0,0,0,0,45,45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,0,50,50,0,10,10,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0.00,0.00,0.00,4,4,0.00,0,0,0,0,0,0,0,0,0.22,1.22,0.00,0.00,0.44,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,100,100,0,0
Cook Islands National Team,Cook Islands,2026,Cook Islands,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,3,-2,4,4,0,1,0,3,0,-2,0,90,90,0,30,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-2,-2,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,1,1,0,3,3,0,2,2,0,0,0,0,2,2,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,100,100,0,0
Samoa,Samoa,2026,Samoa,5,2,3,0,2,0,2,0,0,0,3,2,1,1.2,0,2,4,0,0,4,5,16,-11,21,11,10,0,5,11,5,-11,0,90,0,54,28,16,54,1,0,1,2,0,2,2,2,0,1,0,1,4,4,0,10,1,9,42,34,50,8,5,3,2,0,2,6,5,1,0,0,0,0,0,0,6,3,3,-6,-3,-3,0,0,0,2,1,1,3,1,2,0.4,0.5,0.33,4.2,5.5,3.33,1,0,1.67,3.2,5.5,1.67,1.2,1.5,1,0,0,0,1.2,1.5,1,5,5,4,2,2,1,2,2,2,1,1,1,3,3,2,1,1,0,0,0,1,3,3,4,0,0,0,1,1,1,0,0,1,2,2,3,100,100,80,40,40,20,100,100,100,50,50,50,100,100,67,33,33,0,0,0,20,60,60,80,0,0,0,50,50,50,0,0,33,67,67,100,3,2,1,1,1,1,2,1,0,60,40,20,50,50,50,67,33,0,40,0,67,-86,20,0,33,40,0,67,40,100,0,20,0,33,2,1,1,40,50,33,5,2,3,100,100,100,0,0,0,0,0,0,0,0,0,40,50,33,60,50,67,2.00,2.00,0.00,2.5,1,3.00,100,100,100,100,100,50,50,50,0.36,0.33,0.44,2.31,2.85,1.22,100,0,0,0,0,0,2,0,0,2,1,0,2,2,1,3,2,1,4,0,0,0,60,100,33,50
Tahiti National Team,Tahiti,2026,Tahiti,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,3,5,6,-1,11,2,9,2,3,0,6,2,-3,72,45,90,60,0,45,2,1,1,0,0,0,2,0,2,2,1,1,11,4,7,8,2,6,46,39,50,38,11,27,17,4,13,21,7,14,0,0,0,1,1,0,1,0,1,0,1,-1,1,1,0,2,0,2,1,0,1,1.25,3,0.67,2.75,2,3,1.25,2,1,1.5,0,2,0.5,1,0.33,0.25,1,0,0.25,0,0.33,4,4,3,0,0,0,1,1,0,0,0,0,3,3,3,0,0,0,0,0,1,4,4,4,0,0,1,1,1,1,0,0,0,3,3,3,100,100,75,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,25,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,100,0,0,33,0,0,50,100,33,80,50,100,33,0,0,0,50,0,67,50,100,33,3,1,2,75,100,67,3,0,3,75,0,100,0,0,0,0,0,0,25,100,0,50,0,67,25,0,33,3.67,4.00,3.50,2,2,2.00,67,67,67,67,67,0,0,0,1.49,1.30,1.59,1.47,1.89,1.26,25,1,0,0,0,0,1,2,0,1,1,0,0,0,1,0,1,1,2,0,0,0,50,0,67,0
New Zealand National Team,New Zealand,2026,New Zealand,5,3,2,0,5,3,2,0,0,0,0,0,0,3,3,3,1,0,0,1,29,1,28,30,19,11,18,11,1,0,17,11,16,15,16,450,273,0,4,2,2,1,1,0,0,0,0,5,3,2,24,6,18,2,2,0,44,50,41,65,22,43,33,10,23,32,12,20,0,0,0,13,10,3,1,1,0,12,9,3,4,3,1,1,0,1,0,0,0,2.6,3,2,6,6.33,5.5,5.8,6,5.5,0.2,0.33,0,2.8,3.67,1.5,2.6,3.33,1.5,0.2,0.33,0,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,100,100,100,60,60,60,100,100,100,67,67,67,100,100,100,50,50,50,0,0,0,40,40,40,0,0,0,33,33,33,0,0,0,50,50,50,4,3,3,3,2,2,1,1,1,80,60,60,100,67,67,50,50,50,100,100,100,-31,80,67,100,20,33,0,0,0,0,100,100,100,4,2,2,80,67,100,1,0,1,20,0,50,1,1,0,20,33,0,80,100,50,20,0,50,0,0,0,8.00,6.00,9.00,0.67,0.67,0.00,67,67,67,67,67,67,67,67,2.65,2.63,2.66,0.36,0.43,0.32,300,2,2,5,4,0,3,4,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
New Caledonia National Team,New Caledonia,2026,New Caledonia,5,3,2,0,3,2,1,1,0,1,1,1,0,2,2,2,1,0,0,2,10,7,3,17,10,7,6,4,4,3,2,1,45,45,45,64,68,60,1,1,0,3,1,2,1,1,0,3,2,1,14,14,0,7,4,3,25,25,0,23,23,0,5,5,0,18,18,0,0,0,0,3,2,1,3,0,3,0,2,-2,1,1,0,2,2,0,2,0,2,1,1.67,0,3.4,3.33,3.5,2,2,2,1.4,1.33,1.5,1.2,0.67,2,0.6,0.67,0.5,0.6,0,1.5,5,5,4,2,1,0,3,3,3,1,0,0,2,2,1,1,1,0,0,0,1,3,4,5,0,0,0,2,3,3,0,0,1,1,1,2,100,100,80,40,20,0,100,100,100,33,0,0,100,100,50,50,50,0,0,0,20,60,80,100,0,0,0,67,100,100,0,0,50,50,50,100,3,2,1,1,1,0,2,1,1,60,40,20,33,33,0,100,50,50,60,67,50,3,20,33,0,60,33,100,20,33,0,60,67,50,3,3,0,60,100,0,3,2,1,60,67,50,1,0,1,20,0,50,20,33,0,40,67,0,40,0,100,7.00,7.00,0.00,1.75,2,1.50,50,50,50,50,50,50,50,50,0.75,1.25,0.00,0.90,1.40,0.00,80,1,1,0,0,2,2,1,1,2,1,0,0,1,1,0,2,2,0,20,0,50,20,33,0,0
Fiji National Team,Fiji,2026,Fiji,4,1,3,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2,0,0,5,5,11,-6,16,2,14,1,4,1,10,0,-6,72,90,68,33,90,27,1,0,1,2,1,1,1,0,1,2,1,1,7,0,7,7,2,5,50,0,50,12,0,12,2,0,2,10,0,10,0,0,0,3,1,2,6,0,6,-3,1,-4,2,1,1,0,0,0,2,0,2,1.5,3,1,4,2,4.67,1.25,1,1.33,2.75,1,3.33,2.25,1,2.67,0.75,1,0.67,1.5,0,2,4,3,2,2,2,2,1,1,0,0,0,0,3,2,2,2,2,2,0,1,2,2,2,2,0,0,1,1,1,1,0,1,1,1,1,1,100,75,50,50,50,50,100,100,0,0,0,0,100,67,67,67,67,67,0,25,50,50,50,50,0,0,100,100,100,100,0,33,33,33,33,33,4,2,2,1,0,0,3,2,2,100,50,50,100,0,0,100,67,67,25,0,33,22,25,0,33,50,100,33,25,0,33,50,100,33,2,1,1,50,100,33,1,0,1,25,0,33,1,0,1,25,0,33,50,100,33,0,0,0,50,0,67,3.50,0.00,3.50,1.75,2,1.67,50,50,50,50,50,50,0,0,0.16,0.00,0.66,1.23,0.00,1.73,100,0,1,0,0,2,1,0,0,1,2,1,1,1,1,3,0,1,1,50,100,33,25,0,33,0
Solomon Islands National Team,Solomon Islands,2026,Solomon Islands,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,6,4,5,-1,9,6,3,2,2,4,1,-2,1,68,90,45,54,45,90,0,0,0,2,1,1,1,1,0,1,0,1,5,5,0,3,3,0,50,50,0,4,4,0,2,2,0,2,2,0,0,0,0,3,2,1,2,2,0,1,0,1,2,1,1,0,0,0,1,1,0,2,1.5,3,3,3,3,1.33,1,2,1.67,2,1,1.67,2,1,1,1,1,0.67,1,0,3,2,2,1,1,0,2,1,1,1,1,0,1,1,1,0,0,0,0,1,1,2,2,3,0,1,1,1,1,2,0,0,0,1,1,1,100,67,67,33,33,0,100,50,50,50,50,0,100,100,100,0,0,0,0,33,33,67,67,100,0,50,50,50,50,100,0,0,0,100,100,100,3,1,1,2,1,1,1,0,0,100,33,33,100,50,50,100,0,0,33,0,100,-23,0,0,0,67,50,100,33,50,0,33,0,100,1,0,1,33,0,100,1,1,0,33,50,0,1,1,0,33,50,0,67,50,100,0,0,0,33,50,0,5.00,5.00,0.00,1.5,1.5,0.00,100,100,100,100,100,100,0,0,0.00,0.83,0.00,0.00,0.88,0.00,67,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,67,100,0,0
Vanuatu National Team,Vanuatu,2026,Vanuatu,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,3,0,0,7,5,11,-6,16,5,11,4,1,1,10,3,-9,54,23,180,25,90,18,0,0,0,2,1,1,1,0,1,1,1,0,7,0,7,6,1,5,61,0,61,19,0,19,4,0,4,15,0,15,0,0,0,3,2,1,6,0,6,-3,2,-5,1,1,0,0,0,0,2,0,2,1,3,0,5.33,5,5.5,1.67,4,0.5,3.67,1,5,3,2,3.5,1,2,0.5,2,0,3,3,3,2,2,2,1,1,1,1,1,1,0,2,2,1,1,1,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,1,1,1,1,100,100,67,67,67,33,100,100,100,100,100,0,100,100,50,50,50,50,0,0,33,33,33,67,0,0,0,0,0,100,0,0,50,50,50,50,3,2,1,1,1,0,2,1,1,100,67,33,100,100,0,100,50,50,33,100,0,107,0,0,0,67,100,50,33,0,50,33,100,0,1,1,0,33,100,0,1,0,1,33,0,50,1,0,1,33,0,50,33,100,0,0,0,0,67,0,100,7.00,0.00,7.00,2,1,2.50,100,100,100,100,100,0,0,0,0.89,0.00,1.89,0.30,0.00,1.30,200,1,1,0,1,0,1,0,0,1,1,1,2,2,0,1,1,1,2,0,0,0,67,0,100,0
Papua New Guinea National Team,Papua New Guinea,2026,Papua New Guinea,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,9,5,8,-3,13,9,4,4,1,5,3,-1,-2,54,45,90,34,36,30,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,2,2,-2,0,-2,1,1,0,0,0,0,2,1,1,1,1.5,0,4.33,4.5,4,1.67,2,1,2.67,2.5,3,2,2,2,0.67,1,0,1.33,1,2,3,3,3,2,1,1,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,2,2,0,0,0,1,1,1,0,0,0,0,1,1,100,100,100,67,33,33,100,100,100,50,50,50,100,100,100,100,0,0,0,0,0,33,67,67,0,0,0,50,50,50,0,0,0,0,100,100,3,2,1,2,1,1,1,1,0,100,67,33,100,50,50,100,100,0,0,0,0,13,0,0,0,100,100,100,0,0,0,33,50,0,0,0,0,0,0,0,2,1,1,67,50,100,1,1,0,33,50,0,33,50,0,0,0,0,67,50,100,0.00,0.00,0.00,1,2,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,1,0,0,0,1,0,0,1,2,0,1,0,0,3,1,1,0,2,33,50,0,67,50,100,0
